"EpisodeID","Episode","UserRating","UserVotes"
"S7E3","Home Sweet Home-Dum-Diddly Doodily",8.3,1288
"S7E4","Bart Sells His Soul",8.8,1628
"S7E5","Lisa the Vegetarian",8.6,1533
"S7E6","Treehouse of Horror VI",8.5,1554
"S7E7","King Size Homer",9.0,1918
"S7E8","Mother Simpson",8.5,1461
"S7E9","Sideshow Bob's Last Gleaming",8.0,1218
"S7E10","The Simpsons 138th Episode Spectacular",7.5,1214
"S7E11","Marge Be Not Proud",8.4,1401
"S7E12","Team Homer",8.3,1261
"S7E13","Two Bad Neighbors",8.7,1504
"S7E14","Scenes from the Class Struggle in Springfield",7.7,1150
"S7E15","Bart the Fink",7.7,1143
"S7E16","Lisa the Iconoclast",8.1,1234
"S7E17","Homer the Smithers",8.9,1846
"S7E18","The Day the Violence Died",8.0,1204
"S7E19","A Fish Called Selma",8.3,1318
"S7E20","Bart on the Road",8.6,1330
"S7E21","22 Short Films About Springfield",8.8,1673
"S7E22","Raging Abe Simpson and His Grumbling Grandson in 'The Curse of the Flying Hellfish'",8.4,1330
"S7E23","Much Apu About Nothing",8.1,1187
"S7E24","Homerpalooza",8.0,1286
"S7E25","Summer of 4'2""",8.3,1339
"S8E1","Treehouse of Horror VII",8.4,1434
"S8E2","You Only Move Twice",9.2,2904
"S8E3","The Homer They Fall",8.0,1287
"S8E4","Burns, Baby Burns",7.7,1268
"S8E5","Bart After Dark",8.2,1308
"S8E6","A Milhouse Divided",8.0,1206
"S8E7","Lisa's Date with Density",7.9,1194
"S8E8","Hurricane Neddy",8.8,1525
"S8E9","The Mysterious Voyage of Homer",8.5,1628
"S8E10","The Springfield Files",9.0,2112
"S8E11","The Twisted World of Marge Simpson",7.8,1187
"S8E12","Mountain of Madness",8.6,1366
"S8E13","Simpsoncalifragilisticexpiala(Annoyed Grunt)cious",7.7,1283
"S8E14","The Itchy & Scratchy & Poochie Show",7.9,1287
"S8E15","Homer's Phobia",8.9,1935
"S8E16","Brother from Another Series",8.2,1313
"S8E17","My Sister, My Sitter",8.1,1204
"S8E18","Homer vs. the 18th Amendment",8.8,1576
"S8E19","Grade School Confidential",8.2,1184
"S8E20","The Canine Mutiny",7.7,1097
"S8E21","The Old Man and the Lisa",7.9,1145
"S8E22","In Marge We Trust",8.1,1165
"S8E23","Homer's Enemy",9.3,2768
"S8E24","The Simpsons Spin-Off Showcase",7.2,1194
"S8E25","The Secret War of Lisa Simpson",7.8,1147
"S9E1","The City of New York vs. Homer Simpson",9.1,2304
"S9E2","The Principal and the Pauper",7.2,1385
"S9E3","Lisa's Sax",8.1,1168
"S9E4","Treehouse of Horror VIII",8.2,1222
"S9E5","The Cartridge Family",8.3,1275
"S9E6","Bart Star",7.8,1093
"S9E7","The Two Mrs. Nahasapeemapetilons",7.7,1071
"S9E8","Lisa the Skeptic",8.0,1169
"S9E9","Realty Bites",7.6,1053
"S9E10","Miracle on Evergreen Terrace",7.6,1129
"S9E11","All Singing, All Dancing",5.1,1308
"S9E12","Bart Carny",7.8,1105
"S9E13","The Joy of Sect",8.3,1221
"S9E14","Das Bus",8.2,1221
"S9E15","The Last Temptation of Krust",7.5,1041
"S9E16","Dumbbell Indemnity",7.7,1047
"S9E17","Lisa the Simpson",8.0,1131
"S9E18","This Little Wiggy",7.9,1078
"S9E19","Simpson Tide",8.3,1201
"S9E20","The Trouble with Trillions",7.9,1117
"S9E21","Girly Edition",7.9,1068
"S9E22","Trash of the Titans",8.5,1310
"S9E23","King of the Hill",8.3,1146
"S9E24","Lost Our Lisa",7.7,1043
"S9E25","Natural Born Kissers",8.1,1101
"S10E1","Lard of the Dance",7.6,1114
"S10E2","The Wizard of Evergreen Terrace",8.2,1168
"S10E3","Bart the Mother",7.5,1061
"S10E4","Treehouse of Horror IX",8.0,1213
"S10E5","When You Dish Upon a Star",7.3,1109
"S10E6","D'oh-in' in the Wind",7.6,1074
"S10E7","Lisa Gets an 'A'",8.1,1090
"S10E8","Homer Simpson in: 'Kidney Trouble'",7.3,1028
"S10E9","Mayored to the Mob",8.2,1156
"S10E10","Viva Ned Flanders",7.8,1092
"S10E11","Wild Barts Can't Be Broken",7.7,1005
"S10E12","Sunday, Cruddy Sunday",6.9,1038
"S10E13","Homer to the Max",7.7,1061
"S10E14","I'm with Cupid",7.3,959
"S10E15","Marge Simpson in 'Screaming Yellow Honkers'",7.3,985
"S10E16","Make Room for Lisa",7.5,947
"S10E17","Maximum Homerdrive",7.7,1007
"S10E18","Simpsons Bible Stories",7.4,1022
"S10E19","Mom and Pop Art",7.6,1007
"S10E20","The Old Man and the 'C' Student",7.3,933
"S10E21","Monty Can't Buy Me Love",7.2,938
"S10E22","They Saved Lisa's Brain",7.3,955
"S10E23","Thirty Minutes Over Tokyo",8.0,1143
"S11E1","Beyond Blunderdome",7.3,1089
"S11E2","Brother's Little Helper",7.5,937
"S11E3","Guess Who's Coming to Criticize Dinner?",7.5,957
"S11E4","Treehouse of Horror X",7.8,1067
"S11E5","E-I-E-I-(Annoyed Grunt)",7.6,980
"S11E6","Hello Gutter, Hello Fadder",7.3,907
"S11E7","Eight Misbehavin'",7.1,892
"S11E8","Take My Wife, Sleaze",7.2,928
"S11E9","Grift of the Magi",7.3,963
"S11E10","Little Big Mom",7.3,863
"S11E11","Faith Off",6.9,878
"S11E12","The Mansion Family",7.3,890
"S11E13","Saddlesore Galactica",6.6,971
"S11E14","Alone Again, Natura-Diddly",7.9,1041
"S11E15","Missionary: Impossible",7.3,925
"S11E16","Pygmoelian",7.3,896
"S11E17","Bart to the Future",7.1,968
"S11E18","Days of Wine and D'oh'ses",7.4,869
"S11E19","Kill the Alligator and Run",6.6,952
"S11E20","Last Tap Dance in Springfield",7.2,856
"S11E21","It's a Mad, Mad, Mad, Mad Marge",7.2,878
"S11E22","Behind the Laughter",7.9,1125
"S12E1","Treehouse of Horror XI",7.6,990
"S12E2","A Tale of Two Springfields",7.4,948
"S12E3","Insane Clown Poppy",7.1,866
"S12E4","Lisa the Treehugger",7.2,870
"S12E5","Homer vs. Dignity",7.2,905
"S12E6","The Computer Wore Menace Shoes",7.7,940
"S12E7","The Great Money Caper",7.3,904
"S12E8","Skinner's Sense of Snow",8.0,1001
"S12E9","HOMR",8.1,1072
"S12E10","Pokey Mom",7.3,897
"S12E11","Worst Episode Ever",7.5,905
"S12E12","Tennis the Menace",6.9,868
"S12E13","Day of the Jackanapes",7.2,801
"S12E14","New Kids on the Blecch",7.2,983
"S12E15","Hungry Hungry Homer",7.5,874
"S12E16","Bye Bye Nerdy",6.5,837
"S12E17","Simpson Safari",6.9,866
"S12E18","Trilogy of Error",8.6,1302
"S12E19","I'm Goin' to Praiseland",7.3,848
"S12E20","Children of a Lesser Clod",7.2,796
"S12E21","Simpsons Tall Tales",7.0,823
"S13E1","Treehouse of Horror XII",7.5,988
"S13E2","The Parent Rap",7.1,808
"S13E3","Homer the Moe",7.2,830
"S13E4","A Hunka Hunka Burns in Love",7.1,787
"S13E5","The Blunder Years",7.7,860
"S13E6","She of Little Faith",7.1,831
"S13E7","Brawl in the Family",6.9,781
"S13E8","Sweets and Sour Marge",7.0,779
"S13E9","Jaws Wired Shut",7.3,771
"S13E10","Half-Decent Proposal",7.4,810
"S13E11","The Bart Wants What It Wants",7.1,751
"S13E12","The Lastest Gun in the West",6.5,785
"S13E13","The Old Man and the Key",6.5,746
"S13E14","Tales from the Public Domain",7.3,765
"S13E15","Blame It on Lisa",7.0,797
"S13E16","Weekend at Burnsie's",7.7,910
"S13E17","Gump Roast",5.6,855
"S13E18","I Am Furious Yellow",7.7,842
"S13E19","The Sweetest Apu",6.9,727
"S13E20","Little Girl in the Big Ten",7.2,740
"S13E21","The Frying Game",7.1,764
"S13E22","Papa's Got a Brand New Badge",8.0,850
"S14E1","Treehouse of Horror XIII",7.6,908
"S14E2","How I Spent My Strummer Vacation",7.3,859
"S14E3","Bart vs. Lisa vs. 3rd Grade",7.1,774
"S14E4","Large Marge",7.1,842
"S14E5","Helter Shelter",6.8,754
"S14E6","The Great Louse Detective",7.2,774
"S14E7","Special Edna",7.1,724
"S14E8","The Dad Who Knew Too Little",7.3,737
"S14E9","The Strong Arms of the Ma",6.9,785
"S14E10","Pray Anything",6.8,720
"S14E11","Barting Over",6.6,775
"S14E12","I'm Spelling as Fast as I Can",7.2,759
"S14E13","A Star Is Born Again",7.0,731
"S14E14","Mr. Spritz Goes to Washington",6.8,705
"S14E15","C.E.D'oh",7.3,679
"S14E16","'Scuse Me While I Miss the Sky",7.2,681
"S14E17","Three Gays of the Condo",7.2,783
"S14E18","Dude, Where's My Ranch?",7.0,772
"S14E19","Old Yeller-Belly",6.7,692
"S14E20","Brake My Wife, Please",6.8,683
"S14E21","The Bart of War",6.7,701
"S14E22","Moe Baby Blues",7.7,831
"S15E1","Treehouse of Horror XIV",7.4,904
"S15E2","My Mother the Carjacker",7.3,726
"S15E3","The President Wore Pearls",7.0,762
"S15E4","The Regina Monologues",7.1,834
"S15E5","The Fat and the Furriest",7.2,709
"S15E6","Today, I Am a Clown",6.5,700
"S15E7","'Tis the Fifteenth Season",7.1,710
"S15E8","Marge vs. Singles, Seniors, Childless Couples and Teens and Gays",6.7,714
"S15E9","I, (Annoyed Grunt)-Bot",7.2,735
"S15E10","Diatribe of a Mad Housewife",7.2,723
"S15E11","Margical History Tour",7.1,691
"S15E12","Milhouse Doesn't Live Here Anymore",7.2,711
"S15E13","Smart & Smarter",7.1,705
"S15E14","The Ziff Who Came to Dinner",6.8,682
"S15E15","Co-Dependent's Day",6.8,676
"S15E16","The Wandering Juvie",6.9,715
"S15E17","My Big Fat Geek Wedding",6.7,670
"S15E18","Catch 'Em If You Can",7.0,724
"S15E19","Simple Simpson",7.3,733
"S15E20","The Way We Weren't",7.2,717
"S15E21","Bart-Mangled Banner",6.2,722
"S15E22","Fraudcast News",7.2,672
"S16E1","Treehouse of Horror XV",7.4,817
"S16E2","All's Fair in Oven War",7.0,696
"S16E3","Sleeping with the Enemy",7.1,684
"S16E4","She Used to Be My Girl",6.6,695
"S16E5","Fat Man and Little Boy",7.1,656
"S16E6","Midnight Rx",7.2,685
"S16E7","Mommie Beerest",7.0,647
"S16E8","Homer and Ned's Hail Mary Pass",6.3,710
"S16E9","Pranksta Rap",6.8,726
"S16E10","There's Something About Marrying",7.0,704
"S16E11","On a Clear Day I Can't See My Sister",6.9,692
"S16E12","Goo Goo Gai Pan",7.0,713
"S16E13","Mobile Homer",6.9,654
"S16E14","The Seven-Beer Snitch",6.9,660
"S16E15","Future-Drama",7.3,741
"S16E16","Don't Fear the Roofer",7.4,800
"S16E17","The Heartbroke Kid",7.2,685
"S16E18","A Star Is Torn",6.7,673
"S16E19","Thank God It's Doomsday",7.2,699
"S16E20","Home Away from Homer",7.1,657
"S16E21","The Father, the Son, and the Holy Guest Star",7.2,756
"S17E1","Bonfire of the Manatees",6.2,735
"S17E2","The Girl Who Slept Too Little",6.9,702
"S17E3","Milhouse of Sand and Fog",7.0,665
"S17E4","Treehouse of Horror XVI",7.3,784
"S17E5","Marge's Son Poisoning",6.9,679
"S17E6","See Homer Run",6.9,648
"S17E7","The Last of the Red Hat Mamas",6.7,661
"S17E8","The Italian Bob",7.0,821
"S17E9","Simpsons Christmas Stories",6.8,658
"S17E10","Homer's Paternity Coot",6.7,665
"S17E11","We're on the Road to D'ohwhere",6.9,643
"S17E12","My Fair Laddy",6.3,704
"S17E13","The Seemingly Never-Ending Story",7.5,768
"S17E14","Bart Has Two Mommies",7.0,665
"S17E15","Homer Simpson, This Is Your Wife",6.5,962
"S17E16","Million Dollar Abie",6.5,680
"S17E17","Kiss Kiss, Bang Bangalore",7.2,779
"S17E18","The Wettest Stories Ever Told",6.7,654
"S17E19","Girls Just Want to Have Sums",7.2,703
"S17E20","Regarding Margie",6.7,657
"S17E21","The Monkey Suit",7.1,703
"S17E22","Homer and Marge Turn a Couple Play",6.5,700
"S18E1","The Mook, the Chef, the Wife and Her Homer",7.5,869
"S18E2","Jazzy & The Pussycats",6.6,779
"S18E3","Please Homer, Don't Hammer 'Em",6.7,730
"S18E4","Treehouse of Horror XVII",7.0,841
"S18E5","G.I. (Annoyed Grunt)",6.8,763
"S18E6","Moe'N'a Lisa",6.8,708
"S18E7","Ice Cream of Margie: With the Light Blue Hair",7.0,708
"S18E8","The Haw-Hawed Couple",7.2,677
"S18E9","Kill Gil, Vol. 1 & 2",6.4,720
"S18E10","The Wife Aquatic",6.6,716
"S18E11","Revenge Is a Dish Best Served Three Times",7.0,682
"S18E12","Little Big Girl",6.9,774
"S18E13","Springfield Up",7.2,726
"S18E14","Yokel Chords",7.0,741
"S18E15","Rome-old and Juli-eh",6.3,705
"S18E16","Homerazzi",7.1,718
"S18E17","Marge Gamer",7.3,789
"S18E18","The Boys of Bummer",6.2,704
"S18E19","Crook and Ladder",7.0,638
"S18E20","Stop or My Dog Will Shoot",6.9,664
"S18E21","24 Minutes",8.1,1330
"S18E22","You Kent Always Say What You Want",7.2,791
"S19E1","He Loves to Fly and He D'ohs",6.7,804
"S19E2","Homer of Seville",6.6,789
"S19E3","Midnight Towboy",7.2,738
"S19E4","I Don't Wanna Know Why the Caged Bird Sings",6.9,722
"S19E5","Treehouse of Horror XVIII",7.0,792
"S19E6","Little Orphan Millie",6.6,694
"S19E7","Husbands and Knives",7.1,864
"S19E8","Funeral for a Fiend",7.1,777
"S19E9","Eternal Moonshine of the Simpson Mind",8.1,1100
"S19E10","E Pluribus Wiggum",6.9,729
"S19E11","That '90s Show",6.3,1194
"S19E12","Love, Springfieldian Style",6.6,735
"S19E13","The DeBarted",7.6,909
"S19E14","Dial 'N' for Nerder",7.2,731
"S19E15","Smoke on the Daughter",6.7,683
"S19E16","Papa Don't Leech",6.0,679
"S19E17","Apocalypse Cow",6.8,703
"S19E18","Any Given Sundance",7.0,685
"S19E19","Mona Leaves-a",7.1,719
"S19E20","All About Lisa",6.4,635
"S20E1","Sex, Pies and Idiot Scrapes",7.2,894
"S20E2","Lost Verizon",6.9,797
"S20E3","Double, Double, Boy in Trouble",6.9,741
"S20E4","Treehouse of Horror XIX",7.1,881
"S20E5","Dangerous Curves",6.5,720
"S20E6","Homer and Lisa Exchange Cross Words",7.0,711
"S20E7","MyPods and Boomsticks",7.1,841
"S20E8","The Burns and the Bees",6.5,723
"S20E9","Lisa the Drama Queen",5.9,831
"S20E10","Take My Life, Please",7.0,699
"S20E11","How the Test Was Won",7.0,713
"S20E12","No Loan Again, Naturally",6.9,692
"S20E13","Gone Maggie Gone",7.2,771
"S20E14","In the Name of the Grandfather",6.3,734
"S20E15","Wedding for Disaster",6.8,670
"S20E16","Eeny Teeny Maya Moe",7.2,721
"S20E17","The Good, the Sad and the Drugly",7.2,715
"S20E18","Father Knows Worst",6.9,657
"S20E19","Waverly Hills, 9021-D'Oh",7.1,729
"S20E20","Four Great Women and a Manicure",6.3,705
"S20E21","Coming to Homerica",7.2,762
"S21E1","Homer the Whopper",7.1,808
"S21E2","Bart Gets a 'Z'",6.6,693
"S21E3","The Great Wife Hope",6.3,663
"S21E4","Treehouse of Horror XX",7.3,792
"S21E5","The Devil Wears Nada",6.7,653
"S21E6","Pranks and Greens",6.7,640
"S21E7","Rednecks and Broomsticks",6.8,616
"S21E8","Oh Brother, Where Bart Thou?",7.1,642
"S21E9","Thursdays with Abie",6.8,573
"S21E10","Once Upon a Time in Springfield",6.6,648
"S21E11","Million Dollar Maybe",7.1,627
"S21E12","Boy Meets Curl",6.8,616
"S21E13","The Color Yellow",6.5,596
"S21E14","Postcards from the Wedge",7.0,581
"S21E15","Stealing First Base",7.0,652
"S21E16","The Greatest Story Ever D'ohed",5.7,790
"S21E17","American History X-cellent",6.6,571
"S21E18","Chief of Hearts",6.9,579
"S21E19","The Squirt and the Whale",6.9,613
"S21E20","To Surveil, with Love",7.2,611
"S21E21","Moe Letter Blues",6.9,589
"S21E22","The Bob Next Door",7.2,647
"S21E23","Judge Me Tender",6.6,599
"S22E1","Elementary School Musical",6.2,799
"S22E2","Loan-a Lisa",6.8,600
"S22E3","MoneyBart",6.7,599
"S22E4","Treehouse of Horror XXI",7.1,799
"S22E5","Lisa Simpson, This Isn't Your Life",7.1,574
"S22E6","The Fool Monty",6.4,575
"S22E7","How Munched Is That Birdie in the Window?",6.4,582
"S22E8","The Fight Before Christmas",6.8,658
"S22E9","Donnie Fatso",7.0,622
"S22E10","Moms I'd Like to Forget",6.3,555
"S22E11","Flaming Moe",6.8,621
"S22E12","Homer the Father",7.0,582
"S22E13","The Blue and the Gray",6.8,560
"S22E14","Angry Dad: The Movie",7.2,665
"S22E15","The Scorpion's Tale",6.6,580
"S22E16","A Midsummer's Nice Dreams",6.1,574
"S22E17","Love Is a Many Strangled Thing",6.4,566
"S22E18","The Great Simpsina",6.9,596
"S22E19","The Real Housewives of Fat Tony",6.5,585
"S22E20","Homer Scissorhands",7.1,581
"S22E21","500 Keys",7.2,605
"S22E22","The Ned-Liest Catch",7.0,583
"S23E1","The Falcon and the D'Ohman",7.1,771
"S23E2","Bart Stops to Smell the Roosevelts",7.0,633
"S23E3","Treehouse of Horror XXII",6.6,752
"S23E4","Replaceable You",6.6,578
"S23E5","The Food Wife",7.2,662
"S23E6","The Book Job",7.8,834
"S23E7","The Man in the Blue Flannel Pants",6.7,580
"S23E8","The Ten-Per-Cent Solution",6.2,567
"S23E9","Holidays of Future Passed",8.2,1077
"S23E10","Politically Inept, with Homer Simpson",6.1,649
"S23E11","The D'oh-cial Network",7.0,652
"S23E12","Moe Goes from Rags to Riches",5.7,664
"S23E13","The Daughter Also Rises",6.4,581
"S23E14","At Long Last Leave",7.0,674
"S23E15","Exit Through the Kwik-E-Mart",6.8,515
"S23E16","How I Wet Your Mother",7.2,659
"S23E17","Them, Robot",7.0,600
"S23E18","Beware My Cheating Bart",7.1,568
"S23E19","A Totally Fun Thing Bart Will Never Do Again",7.4,679
"S23E20","The Spy Who Learned Me",6.8,489
"S23E21","Ned 'N' Edna's Blend",6.6,502
"S23E22","Lisa Goes Gaga",4.3,1511
"S24E1","Moonshine River",6.4,706
"S24E2","Treehouse of Horror XXIII",7.3,715
"S24E3","Adventures in Baby-Getting",6.9,552
"S24E4","Gone Abie Gone",6.7,513
"S24E5","Penny-Wiseguys",6.3,519
"S24E6","A Tree Grows in Springfield",6.4,519
"S24E7","The Day the Earth Stood Cool",7.1,590
"S24E8","To Cur with Love",7.2,539
"S24E9","Homer Goes to Prep School",6.8,502
"S24E10","A Test Before Trying",7.0,499
"S24E11","Changing of the Guardian",6.5,497
"S24E12","Love Is a Many Splintered Thing",6.4,572
"S24E13","Hardly Kirk-ing",7.0,500
"S24E14","Gorgeous Grampa",6.2,519
"S24E15","Black-Eyed, Please",7.0,514
"S24E16","Dark Knight Court",7.0,507
"S24E17","What Animated Women Want",6.5,516
"S24E18","Pulpit Friction",6.5,495
"S24E19","Whiskey Business",6.8,454
"S24E20","The Fabulous Faker Boy",6.3,504
"S24E21","The Saga of Carl",7.1,562
"S24E22","Dangers on a Train",7.0,487
"S25E1","Homerland",6.9,750
"S25E2","Treehouse of Horror XXIV",7.0,766
"S25E3","Four Regrettings and a Funeral",6.4,577
"S25E4","YOLO",6.6,586
"S25E5","Labor Pains",7.0,533
"S25E6","The Kid Is All Right",6.4,557
"S25E7","Yellow Subterfuge",7.0,532
"S25E8","White Christmas Blues",6.5,536
"S25E9","Steal This Episode",7.6,770
"S25E10","Married to the Blob",7.1,563
"S25E11","Specs and the City",7.2,522
"S25E12","Diggs",6.4,571
"S25E13","The Man Who Grew Too Much",6.7,563
"S25E14","The Winter of His Content",6.6,496
"S25E15","The War of Art",6.9,505
"S25E16","You Don't Have to Live Like a Referee",6.9,524
"S25E17","Luca$",6.5,505
"S25E18","Days of Future Future",7.1,608
"S25E19","What to Expect When Bart's Expecting",5.8,541
"S25E20","Brick Like Me",7.7,855
"S25E21","Pay Pal",6.7,490
"S25E22","The Yellow Badge of Cowardge",6.7,503
"S26E1","Clown in the Dumps",5.8,763
"S26E2","The Wreck of the Relationship",6.9,590
"S26E3","Super Franchise Me",6.4,559
"S26E4","Treehouse of Horror XXV",7.3,735
"S26E5","Opposites A-Frack",6.3,545
"S26E6","Simpsorama",7.9,1131
"S26E7","Blazed and Confused",6.9,557
"S26E8","Covercraft",6.5,534
"S26E9","I Won't Be Home for Christmas",6.8,520
"S26E10","The Man Who Came to Be Dinner",6.8,679
"S26E11","Bart's New Friend",7.3,533
"S26E12","The Musk Who Fell to Earth",5.9,554
"S26E13","Walking Big & Tall",6.3,468
"S26E14","My Fare Lady",6.7,452
"S26E15","The Princess Guide",6.6,468
"S26E16","Sky Police",6.8,478
"S26E17","Waiting for Duffman",6.7,466
"S26E18","Peeping Mom",6.7,425
"S26E19","The Kids Are All Fight",6.8,439
"S26E20","Let's Go Fly a Coot",6.2,430
"S26E21","Bull-E",6.7,428
"S26E22","Mathlete's Feat",6.9,429
"S27E1","Every Man's Dream",5.9,690
"S27E2","'Cue Detective",6.7,522
"S27E3","Puffless",7.2,536
"S27E4","Halloween of Horror",7.5,627
"S27E5","Treehouse of Horror XXVI",6.8,545
"S27E6","Friend with Benefit",6.9,468
"S27E7","Lisa with an ""S""",6.2,470
"S27E8","Paths of Glory",7.1,440
"S27E9","Barthood",8.4,1007
"S27E10","The Girl Code",6.7,500
"S27E11","Teenage Mutant Milk-Caused Hurdles",6.8,446
"S27E12","Much Apu About Something",6.7,404
